id	url	thumbnail	duration	title	views	likes	dislikes	tags
Pd82fHnQhj0	https://www.youtube.com/watch?v=Pd82fHnQhj0	https://i.ytimg.com/vi/Pd82fHnQhj0/hqdefault.jpg	77	Apple Watch Series 6 – Complete Beginners Guide	1446938	15108	1079	Apple Watch,Apple Watch 6,Apple Watch Series 6,apple watch guide,apple watch 6 guide,apple watch tutorial,apple watch 6 tutorial,apple watch series 6 tutorial,apple watch help,apple watch beginners guide,apple watch beginners,apple watch primer,Apple,Watch,series 6,guide,tutorial,beginners,complete,AppFind,help,features,how to,how to use apple watch,apple watch 6 beginners guide,setup apple watch,use,setup,Apple Watch series 6 beginners guide,watchOS 7
Mm0NvlXdz4A	https://www.youtube.com/watch?v=Mm0NvlXdz4A	https://i.ytimg.com/vi/Mm0NvlXdz4A/hqdefault.jpg	8	Apple Watch Series 6: Everything New! (Product RED)	5197464	158748	3608	Apple Watch,series 6,Apple Watch SE,Apple Watch series 6,Apple Watch 6,red Apple Watch,apple watch colors,product red,MKBHD,Apple Watch unboxing
MMdQ-gWBNZE	https://www.youtube.com/watch?v=MMdQ-gWBNZE	https://i.ytimg.com/vi/MMdQ-gWBNZE/hqdefault.jpg	1	Introducing Apple Watch Series 7 | Apple	1854898	58606	2398	Apple,Apple Watch,Apple Watch Series 7,fall detection,blood oxygen,workout tracking,fitness tracking,smart watch,heart rate monitor,ECG,sleep tracking,meditation,SwingVision,Dawn Patrol,Golfshot,tennis,surfing,cycling,health,new screen,display,bigger display,bigger screen,durability,SOULS
ZmvggQta7VM	https://www.youtube.com/watch?v=ZmvggQta7VM	https://i.ytimg.com/vi/ZmvggQta7VM/hqdefault.jpg	8	Apple Watch Series 6 Review: 1 Year Later	17132	868	13	Tailosive,Tech,Technology,Apple,Apple Watch,watchOS 8,Apple Watch Series 6,Smart Watch,Apple Event,Apple Watch Series 7
QAcVknbNzbc	https://www.youtube.com/watch?v=QAcVknbNzbc	https://i.ytimg.com/vi/QAcVknbNzbc/hqdefault.jpg	13	WHAT'S ON MY APPLE WATCH! (series 6!)	90630	3086	65	WHAT'S ON MY APPLE WATCH! (series 6!),whats on my apple watch,apple watch,series 6,apple watch se,apple watch series 6,apple watch features,best apple watch apps,apple watch unboxing,whats on my apple watch series 6,best apps for apple watch,apple watch series 6 unboxing,apple watch 2021
zIv_dWi00O8	https://www.youtube.com/watch?v=zIv_dWi00O8	https://i.ytimg.com/vi/zIv_dWi00O8/hqdefault.jpg	5	Apple Watch Series 7: Here's what's new	236813	3161	178	CNET,Technology,News,Tech,Review,mobile phone,apple,android,unboxing,vs,science,smartphone,apple watch,apple watch 7,apple watch series 7,new apple watch,best apple watch
s2GKplqsAws	https://www.youtube.com/watch?v=s2GKplqsAws	https://i.ytimg.com/vi/s2GKplqsAws/hqdefault.jpg	7	Apple Watch Series 7: All The New Features in 7 Minutes	87848	3298	46	Apple Watch Series 7,Apple Watch 7,Apple watch,Apple watch Series 7 Features,Apple Watch Series 7 Feature List,Apple watch 7 features,Apple,Apple Watch September Event,Apple Watch September Event 2021,DC Rainmaker,Rainmaker,Ray Maker,Sports Tech,Cycling,Apple Watch Cycling,Apple Watch Series 7 41mm,Apple watch Series 7 45mm,Apple Watch New Features,apple watch series 7 release date,apple watch series 7 price
7Njyrfodo3I	https://www.youtube.com/watch?v=7Njyrfodo3I	https://i.ytimg.com/vi/7Njyrfodo3I/hqdefault.jpg	11	Apple Watch Series 6: (Almost) One Year Review!	9474	328	18	AppleInsider,Apple Insidre,Andrew OHara,Apple Watch,iWatch,Apple Watch 6,Apple Watch 7,Apple Watch Series 6,series 6,review,reviews,long term review,1-year review,hands on,revisit,revistied,compare,compared,Series 7,Apple Watch series 7
75OstkGpLrM	https://www.youtube.com/watch?v=75OstkGpLrM	https://i.ytimg.com/vi/75OstkGpLrM/hqdefault.jpg	12	Apple Watch Series 6 Long Term Review (1 Year Later)	23167	1242	26	Apple Watch,Series 6 Apple Watch,Apple Watch Series 6,new red Apple Watch,Product Red watch,Apple watch bands,Apple Watch series 6 waterproof,Apple Watch Edition,Apple Watch Titanium,watchOS 7,watchOS7,watch os 7,Apple Watch os 7,series 5 Apple Watch,sleep,fitness,battery health,complications,Apple Watch Series 6 review,Apple Watch Series 6 long term review,Apple Watch Series 6 1 year later,1 year later review Apple Watch,zollotech,4K,watchOS 8
sDGjugvLpJ4	https://www.youtube.com/watch?v=sDGjugvLpJ4	https://i.ytimg.com/vi/sDGjugvLpJ4/hqdefault.jpg	10	Apple Watch 7 Release Date and Price – New Sizes!	64511	4688	92	apple,watch,series 7,apple watch series 7 price,apple watch series 7 release date,apple watch series 7,apple watch 7,apple watch series 7 release date and price,matt talks tech,new apple watch,apple watch 7 release date and price,apple watch 7 launch date,apple watch 7 price,apple watch 7 cost,apple watch 2021,apple watch touch id,watch touch id,watch 7,series 7 apple watch,watch se,2021,apple watch,watch 2021,apple watch blood,apple september event
